"0.6-1,10",本科,3-4年经验,机械设计工程师,上海-青浦区
"8-10,0.8",大专,无工作经验,机械工程师(接受应届生),上海-宝山区
"6-8,1",本科,2年经验,机械设计工程设计师/机械工程师,上海-徐汇区
"0.8-1,10",本科,3-4年经验,机械部品采购担当,上海
"6-8,1",本科,3-4年经验,机械工程师,上海-嘉定区
"5-8,1",本科,无工作经验,设备工程师/机械工程师,上海
"1-1.5,10",硕士,无工作经验,机械结构设计,上海-闵行区
"6-8,1",招10人,无工作经验,机械设计工程师（五险一金）190220,上海
"0.8-1,10",招若干人,5-7年经验,大型机械管理人员,上海-闵行区
"8-10,0.8",大专,3-4年经验,机械工艺工程师,上海-徐汇区
"0.7-1,10",大专,2年经验,机械工程师,上海-闵行区
"6-8,1",本科,1年经验,机械工程师/机械绘图员/机械/制图员/工艺急聘,上海-金山区
"10-20,0.8",本科,3-4年经验,产品开发经理（建筑机械行业）,上海
"6-8,1",大专,无工作经验,机械设计师,上海-嘉定区
"3-4.5,1",大专,无工作经验,机械设计工程师,上海-长宁区
"4.5-6,1",大专,无工作经验,助理机械工程师,上海-浦东新区
"4.5-6,1",本科,10年以上经验,机械工程师(职位编号：1),上海-嘉定区
"5-7,10",硕士,无工作经验,诚聘工业工程/机械工程/电气工程等论文写手,上海-黄浦区
"0.8-1,10",大专,无工作经验,机械设计工程师,上海-松江区
"0.7-1.2,10",本科,2年经验,机械设计师,上海-杨浦区
"0.6-1,10",大专,无工作经验,机械设计（熟悉注塑/模具成型工艺）10K(职位编号：LC180929),上海
"1-1.5,10",大专,5-7年经验,机械结构工程师/高级结构工程师,上海-闵行区
"3.5-7,1",中专,3-4年经验,机械装配师,上海-奉贤区
"0.6-1.2,10",本科,5-7年经验,食品机械工程师,上海
"1-1.5,10",本科,无工作经验,机械工程师,上海-奉贤区
"4.5-6,1",中技,2年经验,质量检验员(机械制造),上海-宝山区
"6-8,1",招2人,无工作经验,机械修理工,上海-浦东新区
"0.5-1,10",本科,1年经验,机械结构工程师,上海-嘉定区
"6-9,1",中技,2年经验,加工中心/CNC加工/数控中心/机械加工,上海-松江区
"20-30,0.8",本科,3-4年经验,产品工程师（机械）,上海-浦东新区
"0.8-1.5,10",大专,无工作经验,机械工程师,上海-杨浦区
"0.8-1.5,10",大专,2年经验,机械工程师,上海-嘉定区
"4-8,1",大专,2年经验,CAD绘图员/机械工程师,上海-嘉定区
"1-1.5,10",大专,2年经验,机械工程师,上海-闵行区
"0.3-1,10",中技,无工作经验,机械调试工程师,上海-杨浦区
"1-2,10",本科,8-9年经验,机械工程师,上海
"1.2-2.5,10",大专,1年经验,机械设计经理,上海-嘉定区
"1-1.5,10",招若干人,无工作经验,机械结构工程师,上海-杨浦区
"0.6-1,10",大专,1年经验,专业除尘器机械设计师,上海-宝山区
"0.5-1.2,10",中技,无工作经验,机械绘图员(职位编号：201601),上海-松江区
"5-6.5,1",中专,2年经验,机械维修工,上海-嘉定区
"6-8,1",大专,无工作经验,机械结构工程师,上海-杨浦区
"6-8,1",大专,1年经验,助理工程师（机械设计/产品设计/结构设计）,上海-浦东新区
"4-7,1",招2人,无工作经验,机械相关专业毕业生,上海-奉贤区
"1-1.5,10",硕士,3-4年经验,机械封装工程师,上海-奉贤区
"0.8-1.2,10",大专,2年经验,机械工程师,上海-青浦区
